Rank,Game,Release,genre1,genre2,genre3,Score
583,Torchlight II,03/09/2019,Action,RPG,Dungeon Crawler,8.3
584,Toukiden: Kiwami,31/03/2015,Action,RPG,JRPG,8.3
585,XCOM 2,27/09/2016,Strategy,Multiplayer,Single-player,8.3
586,Everybody's Golf,29/08/2017,Simulation,Sports,Multiplayer,8.3
587,The Vanishing of Ethan Carter,15/07/2015,Adventure,Horror,Open World,8.3
588,Days Gone,26/04/2019,Action,Adventure,Horror,8.3
589,Raging Loop,22/10/2019,Adventure,Horror,Visual novel,8.3
590,Gone Home: Console Edition,12/01/2016,Adventure,Single-player,,8.3
591,WWE 2K23,17/03/2023,Simulation,Sports,Local-coop,8.3
592,Don't Starve: Console Edition,07/01/2014,Action,Adventure,Open World,8.3
593,Sakura Wars,28/04/2020,Adventure,RPG,Simulation,8.3
594,Werewolves Within,06/12/2016,RPG,Simulation,Strategy,8.3
595,Saints Row IV: Re-Elected,20/01/2015,Action,Adventure,Open World,8.3
596,The Ninja Saviors: Return of the Warriors,15/10/2019,Action,Beat 'em up,Platformer,8.3
597,Minit,03/04/2018,Adventure,Single-player,,8.3
598,Sniper Elite 4,14/02/2017,Action,Adventure,Military Shooter,8.3
599,ECHO,10/10/2017,Action,Adventure,Single-player,8.3
600,Forgotton Anne,15/05/2018,Action,Adventure,Platformer,8.3
601,DATE A LIVE: Rio Reincarnation,23/07/2019,Adventure,Simulation,Visual novel,8.3
602,Street Fighter V: Arcade Edition,20/01/2018,Fighting,Multiplayer,Single-player,8.3
603,Unravel Two,09/06/2018,Puzzle,Platformer,Cozy,8.3
604,The Awesome Adventures of Captain Spirit,25/06/2018,Adventure,Single-player,,8.3
605,STAR OCEAN First Departure R,05/12/2019,Action,RPG,Single-player,8.3
606,Ys: Memories of Celceta,09/06/2020,Action,RPG,JRPG,8.3
607,Tiny Tina's Wonderlands,25/03/2022,Action,RPG,Coop,8.3
608,Thronebreaker: The Witcher Tales,04/12/2018,Card,RPG,Strategy,8.3
609,Shadow of the Tomb Raider,14/09/2018,Action,Adventure,Stealth,8.3
610,Warriors Orochi 3 Ultimate,30/09/2014,Action,Hack and Slash,Coop,8.3
611,Slime Rancher,21/08/2018,Action,Adventure,Simulation,8.3
612,Digimon Story: Cyber Sleuth,02/02/2016,RPG,JRPG,Anime,8.3
613,Call of Duty: Warzone,10/03/2020,Action,Battle Royale,Multiplayer,8.3
614,HUMANITY,16/05/2023,Action,Puzzle,Platformer,8.3
615,Fury Unleashed,08/05/2020,Action,Adventure,RPG,8.3
616,Mutant Year Zero: Road to Eden,04/12/2018,Adventure,RPG,Strategy,8.3
617,NBA 2K19,11/09/2018,Simulation,Sports,Multiplayer,8.3
618,Day of the Tentacle Remastered,22/03/2016,Adventure,Point & Click,Single-player,8.3
619,God Eater Resurrection,28/06/2016,Action,RPG,Hack and Slash,8.3
620,Tom Clancy's The Division 2,15/03/2019,Action,Adventure,RPG,8.3
621,Legend of Mana,24/06/2021,Action,RPG,Strategy,8.3
622,Score Rush Extended,31/05/2016,Action,Shoot 'em up,Coop,8.3
623,LEGO Star Wars: The Force Awakens,28/06/2016,Action,Adventure,Coop,8.3
624,Curse of the Dead Gods,23/02/2021,Action,Adventure,Single-player,8.3
625,Utawarerumono: Prelude to the Fallen,26/05/2020,RPG,Simulation,JRPG,8.3
626,Paper Beast,24/03/2020,Adventure,Simulation,Single-player,8.3
627,Baldur's Gate: Enhanced Edition,15/10/2019,RPG,Multiplayer,Single-player,8.3
628,Metrico+,23/08/2016,Puzzle,Platformer,Single-player,8.3
629,LEGO DC Super-Villains,16/10/2018,Action,Adventure,Open World,8.3
630,Remnant: From the Ashes,20/08/2019,Action,Survival,Coop,8.3
631,NBA 2K18,19/09/2017,Action,Sports,Multiplayer,8.3
632,Rime,26/05/2017,Adventure,Puzzle,Single-player,8.3
633,FIFA 22,01/10/2021,Simulation,Sports,Coop,8.3
634,No Heroes Allowed VR!,17/10/2017,Strategy,Single-player,,8.3
635,Injustice: Gods Among Us - Ultimate Edition,12/11/2013,Fighting,Multiplayer,Single-player,8.3
636,The Quarry,10/06/2022,Action,Adventure,Horror,8.3
637,Blazing Chrome,11/07/2019,Action,Platformer,Shoot 'em up,8.3
638,Star Renegades,11/03/2021,RPG,Simulation,Strategy,8.3
639,WORLD OF HORROR,26/10/2023,RPG,Single-player,,8.3
640,Duke Nukem 3D: 20th Anniversary World Tour,11/10/2016,Action,Multiplayer,Single-player,8.3
641,Resident Evil 5,28/06/2016,Action,Adventure,Horror,8.3
642,CRYPTARK,27/06/2017,Action,Adventure,Roguelike,8.3
643,Killing Floor 2,18/11/2016,Horror,Survival,Zombie,8.3
644,Attack on Titan,30/08/2016,Action,Anime,Coop,8.3
645,World of Final Fantasy,25/10/2016,RPG,JRPG,Single-player,8.3
646,Madden NFL 23,19/08/2022,Sports,Multiplayer,Online Co-op,8.3
647,NHL 23,14/10/2022,Sports,Multiplayer,Single-player,8.3
648,Overcooked,03/08/2016,Party,Simulation,Strategy,8.3
649,Samurai Warriors 4,21/10/2014,Action,Hack and Slash,Coop,8.3
650,Dragon Quest Heroes II,25/04/2017,Action,RPG,Hack and Slash,8.3
651,Carto,27/10/2020,Action,Adventure,Puzzle,8.3
652,Rocksmith 2014,04/11/2014,Rhythm,Multiplayer,Single-player,8.3
653,The Long Dark,01/08/2017,Action,Adventure,Open World,8.3
654,Giana Sisters: Twisted Dreams - Director's Cut,09/12/2014,Puzzle,Platformer,Single-player,8.3
655,Puyo Puyo Tetris 2,08/12/2020,Action,Arcade,Casual,8.3
656,Yakuza 3 Remastered,20/08/2019,Action,Adventure,Open World,8.3
657,Wulverblade,30/01/2018,Adventure,Beat 'em up,Coop,8.3
658,PRO EVOLUTION SOCCER 2019,28/08/2018,Sports,Coop,Local Multiplayer,8.3
659,Megadimension Neptunia VII,02/02/2016,RPG,JRPG,Single-player,8.3
660,HARDCORE MECHA,14/01/2020,Action,Platformer,Shoot 'em up,8.3
661,Digimon Story: Cyber Sleuth - Hacker's Memory,19/01/2018,RPG,Anime,Multiplayer,8.3
662,Saints Row: The Third Remastered,22/05/2020,Action,Adventure,Open World,8.3
663,Dragon Quest Heroes: The World Tree's Woe and the Blight Below,13/10/2015,Action,RPG,Hack and Slash,8.3
664,Last Day of June,31/08/2017,Adventure,Single-player,,8.3
665,Awesomenauts Assemble!,04/03/2014,MOBA,Strategy,Battle arena,8.3
666,I Am Setsuna,19/07/2016,RPG,JRPG,Single-player,8.3
667,Minoria,10/09/2020,Action,Adventure,RPG,8.3
668,The Elder Scrolls Online - Elsweyr,04/06/2019,MMO,MMORPG,RPG,8.3
669,The Gardens Between,20/09/2018,Adventure,Puzzle,Cozy,8.3
670,GOD EATER 2 Rage Burst,30/08/2016,Action,RPG,Hack and Slash,8.3
671,Kingdom Hearts: Melody of Memory,13/11/2020,Action,Rhythm,Coop,8.3
672,Shantae: Risky's Revenge - Director's Cut,23/06/2015,Action,Adventure,Metroidvania,8.3
673,Resident Evil Zero HD Remaster,19/01/2016,Adventure,Horror,Survival,8.3
674,The Last Remnant Remastered,06/12/2018,Adventure,RPG,JRPG,8.3
675,The Persistence,21/05/2020,Action,Adventure,Horror,8.3
676,Headmaster,13/10/2016,Action,Simulation,Sports,8.3
677,Beyond: Two Souls,24/11/2015,Action,Adventure,Coop,8.3
678,Tethered,25/10/2016,Strategy,Single-player,,8.3
679,Skylanders SWAP Force,15/11/2013,Action,Adventure,RPG,8.3
680,Life is Strange 2,27/09/2018,Adventure,Single-player,,8.3
681,Romancing SaGa 3,11/11/2019,RPG,JRPG,Single-player,8.3
682,Blizzard Arcade Collection,20/02/2021,Action,Adventure,Arcade,8.3
683,Layers of Fear (2016),16/02/2016,Horror,Single-player,,8.2
684,Worms W.M.D,23/08/2016,Strategy,Multiplayer,Single-player,8.2
685,Red Dead Redemption,17/08/2023,Action,Adventure,Open World,8.2
686,DIRT 5,06/11/2020,Racing,Local-coop,Multiplayer,8.2
687,Might & Magic: Clash of Heroes - Definitive Edition,20/07/2023,Adventure,RPG,Strategy,8.2
688,Orcs Must Die! 3,23/07/2021,Action,Adventure,Strategy,8.2
689,World of Final Fantasy Maxima,06/11/2018,RPG,JRPG,Single-player,8.2
690,The Invisible Hours,10/10/2017,Adventure,Single-player,,8.2
691,Pac-Man 256,21/06/2016,Action,Platformer,Multiplayer,8.2
692,Patapon Remastered,01/08/2017,Action,Rhythm,Strategy,8.2
693,Dragon Ball Z: Kakarot,17/01/2020,Action,Adventure,Anime,8.2
694,F.I.S.T.: Forged In Shadow Torch,07/09/2021,Action,Adventure,Metroidvania,8.2
695,PAC-MAN WORLD Re-PAC,26/08/2022,Action,Arcade,Platformer,8.2
696,Cat Quest,14/11/2017,Action,RPG,Open World,8.2
697,Slayaway Camp: Butcher's Cut,24/10/2017,Puzzle,Single-player,,8.2
698,Disgaea 1 Complete,09/10/2018,Puzzle,RPG,Simulation,8.2
699,Banner of the Maid,12/08/2020,RPG,Strategy,JRPG,8.2
700,Fist of the North Star: Lost Paradise,02/10/2018,Action,Adventure,Anime,8.2
701,The Cruel King and the Great Hero,15/03/2022,RPG,JRPG,Single-player,8.2
702,The Escapists 2,22/08/2017,Puzzle,RPG,Simulation,8.2
703,Axiom Verge 2,12/08/2021,Action,Adventure,Metroidvania,8.2
704,Street Fighter V: Champion Edition,14/02/2020,Fighting,Multiplayer,Single-player,8.2
705,Aegis Defenders,08/02/2018,Platformer,Tower Defense,Coop,8.2
706,Flipping Death,07/08/2018,Adventure,Platformer,Single-player,8.2
707,Donut County,28/08/2018,Adventure,Puzzle,Strategy,8.2
708,Darksiders Genesis,14/02/2020,Action,RPG,Hack and Slash,8.2
709,Back 4 Blood,12/10/2021,Action,Zombie,Coop,8.2
710,Shadow Warrior 2,19/03/2017,Coop,Multiplayer,Online Co-op,8.2
711,Yooka-Laylee and the Impossible Lair,08/10/2019,Adventure,Platformer,Single-player,8.2
712,Race the Sun,21/10/2014,Platformer,Single-player,,8.2
713,Evil Dead: The Game,13/05/2022,Action,Adventure,Horror,8.2
714,MLB THE SHOW 18,27/03/2018,Sports,Multiplayer,Single-player,8.2
715,The Last Campfire,27/08/2020,Action,Adventure,Puzzle,8.2
716,Ziggurat,21/04/2015,Roguelike,Single-player,First-Person Shooter,8.2
717,Tesla vs Lovecraft,13/03/2018,Action,Shoot 'em up,Coop,8.2
718,LittleBigPlanet 3,18/11/2014,Puzzle,Platformer,Coop,8.2
719,Shooty Fruity,19/12/2017,Action,Simulation,Single-player,8.2
720,Until You Fall,29/09/2020,Action,Adventure,Hack and Slash,8.2
721,NHL 16,15/09/2015,Sports,Multiplayer,Single-player,8.2
722,Descenders,25/08/2020,Action,Sports,Racing,8.2
723,Pac-Man Museum+,27/05/2022,Action,Arcade,Multiplayer,8.2
724,Assassin's Creed III Remastered,29/03/2019,Action,Adventure,Open World,8.2
725,1001 Spikes,03/06/2014,Adventure,Platformer,Coop,8.2
726,Like a Dragon Gaiden: The Man Who Erased His Name,09/11/2023,Action,Adventure,RPG,8.2
727,Dandara: Trials of Fear Edition,06/02/2018,Action,Adventure,Metroidvania,8.2
728,God Eater 3,08/02/2019,Action,RPG,Hack and Slash,8.2
729,Disney Infinity 3.0 Edition,30/08/2015,Action,Adventure,Open World,8.2
730,ZONE OF THE ENDERS: The 2nd Runner - M∀RS,04/09/2018,Action,Hack and Slash,Anime,8.2
731,The Alliance Alive HD Remastered,08/10/2019,Adventure,RPG,JRPG,8.2
732,Chambara,26/07/2016,Action,Multiplayer,Single-player,8.2
733,The Mummy Demastered,24/10/2017,Action,Adventure,Platformer,8.2
734,Outlast 2,24/04/2017,Action,Horror,Survival,8.2
735,Pro Evolution Soccer 2016,15/09/2015,Sports,Multiplayer,Single-player,8.2
736,"Guns, Gore and Cannoli 2",14/08/2018,Action,Adventure,Multiplayer,8.2
737,Deemo Reborn,21/11/2019,Action,Puzzle,Rhythm,8.2
738,Vacation Simulator,18/06/2019,Simulation,Single-player,,8.2
739,Eastshade,21/10/2019,Adventure,Single-player,,8.2
740,The Magic Circle: Gold Edition,26/04/2016,Action,Adventure,Puzzle,8.2
741,Dragon Ball Xenoverse 2,25/10/2016,RPG,Fighting,Anime,8.2
742,Sparc,29/08/2017,Action,Sports,Multiplayer,8.2
743,Space Invaders Forever,11/12/2020,Action,Shoot 'em up,Coop,8.2
744,Super Mega Baseball,16/12/2014,Sports,Coop,Local-coop,8.2
745,Astria Ascending,30/09/2021,RPG,JRPG,Single-player,8.2
746,Watch Dogs Legion,29/10/2020,Action,Adventure,Open World,8.2
747,Amnesia: Rebirth,20/10/2020,Adventure,Puzzle,Horror,8.2
748,Flinthook,18/04/2017,Action,Platformer,Roguelike,8.2
749,GNOG,02/05/2017,Puzzle,Single-player,,8.2
750,Creature in the Well,27/03/2020,Action,Dungeon Crawler,Hack and Slash,8.2
751,NHL 20,13/09/2019,Sports,Multiplayer,Online Multiplayer,8.2
752,Unepic,29/03/2016,Action,Adventure,RPG,8.2
753,The Dark Pictures Anthology: The Devil in Me,18/11/2022,Action,Adventure,Horror,8.2
754,Hand of Fate,17/02/2015,Action,RPG,Roguelike,8.2
755,Marvel's Iron Man VR,03/07/2020,Simulation,Shooter,Single-player,8.2
756,Everything,21/03/2017,Adventure,Simulation,Single-player,8.2
757,Neon Abyss,14/07/2020,Action,Platformer,Shoot 'em up,8.2
758,Atelier Marie Remake: The Alchemist of Salburg,13/07/2023,RPG,JRPG,Turn-based RPG,8.2
759,BlazBlue Cross Tag Battle,05/06/2018,Fighting,Anime,Multiplayer,8.2
760,Trials Fusion,15/04/2014,Platformer,Racing,Multiplayer,8.2
761,Victor Vran: Overkill Edition,30/05/2017,Action,Adventure,RPG,8.2
762,Hitman GO: Definitive Edition,23/02/2016,Strategy,Turn-based strategy,Single-player,8.2
763,Dragon Star Varnir,11/06/2019,RPG,JRPG,Single-player,8.2
764,HOT WHEELS UNLEASHED,30/09/2021,Arcade,Racing,Local Multiplayer,8.2
765,World War Z: Aftermath,21/09/2021,Action,Horror,Shooter,8.2
766,Nexomon: Extinction,28/08/2020,Adventure,Casual,RPG,8.2
917,Super Mega Baseball 2,01/05/2018,Sports,Coop,Local-coop,8.1
767,Super Monkey Ball Banana Mania,05/10/2021,Arcade,Party,Platformer,8.2
768,Destroy All Humans! (2005),18/10/2016,Action,Adventure,Open World,8.2
769,Code Vein,27/09/2019,Action,RPG,JRPG,8.2
770,Saints Row IV: Re-Elected + Gat out of Hell,20/01/2015,Action,Adventure,Open World,8.2
771,Toukiden 2,21/03/2017,Action,RPG,JRPG,8.2
772,No Straight Roads,25/08/2020,Action,Adventure,RPG,8.2
773,Ultimate Chicken Horse,12/12/2017,Party,Platformer,Coop,8.2
774,The Dark Pictures Anthology: House of Ashes,22/10/2021,Action,Adventure,Horror,8.2
775,Korix,28/03/2017,Strategy,,,8.2
776,Sniper Elite III Ultimate Edition,10/03/2015,Action,Military Shooter,Multiplayer,8.2
777,World of Warships: Legends,16/04/2019,Simulation,Strategy,Multiplayer,8.2
778,Bulletstorm: Full Clip Edition,07/04/2017,Coop,Multiplayer,Online Co-op,8.2
779,Everspace,22/05/2018,Action,Roguelike,Shoot 'em up,8.2
780,MLB The Show 23,28/03/2023,Simulation,Sports,Multiplayer,8.2
781,MOTHERGUNSHIP,17/07/2018,Action,Roguelike,Coop,8.2
782,MotoGP 19,06/06/2019,Racing,Multiplayer,Single-player,8.2
783,Marvel's Guardians of the Galaxy: The Telltale Series,18/04/2017,Adventure,Single-player,,8.2
784,Mount & Blade: Warband,16/09/2016,Action,RPG,Simulation,8.2
785,Ultra Street Fighter IV,26/05/2015,Fighting,Multiplayer,Single-player,8.2
786,Puyo Puyo Champions,07/05/2019,Puzzle,Local Multiplayer,Multiplayer,8.2
787,Hotshot Racing,13/08/2020,Arcade,Racing,Multiplayer,8.2
788,Under The Waves,29/08/2023,Adventure,Single-player,,8.2
789,CHAOS CODE -NEW SIGN OF CATASTROPHE-,15/03/2017,Fighting,Multiplayer,Single-player,8.2
790,Sine Mora EX,08/08/2017,Action,Shoot 'em up,Coop,8.2
791,Need for Speed: Rivals,15/11/2013,Open World,Racing,Multiplayer,8.2
792,Volume,18/08/2015,Action,Stealth,Single-player,8.2
793,BATMAN: The Telltale Series,02/08/2016,Adventure,Point & Click,Single-player,8.2
794,Tokyo Xanadu eX+,08/12/2017,Action,RPG,JRPG,8.2
795,Galak-Z: The Dimensional,04/08/2015,Roguelike,Shoot 'em up,Single-player,8.2
796,WORLDEND SYNDROME,02/05/2019,Adventure,Visual novel,Single-player,8.2
797,Insurgency: Sandstorm,29/09/2021,Action,Simulation,Strategy,8.2
798,Senran Kagura: Estival Versus,15/03/2016,Action,Multiplayer,Single-player,8.2
799,BRIGANDINE The Legend of Runersia,10/12/2020,RPG,Simulation,Strategy,8.2
800,Atelier Lulua ~The Scion of Arland~,21/05/2019,RPG,JRPG,Single-player,8.2
801,Lego City Undercover,04/04/2017,Action,Adventure,Open World,8.2
802,Chivalry 2,08/06/2021,Action,Beat 'em up,Fighting,8.2
803,ANIMA GATE OF MEMORIES: THE NAMELESS CHRONICLES,19/06/2018,Action,Adventure,RPG,8.2
804,Fairy Tail,14/08/2020,Action,RPG,JRPG,8.2
805,Bendy and the Ink Machine,20/11/2018,Adventure,Puzzle,Horror,8.2
806,Cake Bash,15/10/2020,Action,Casual,Local Multiplayer,8.1
807,STAR WARS: Squadrons,02/10/2020,Action,Simulation,Coop,8.1
808,Cotton Reboot,20/07/2021,Action,Adventure,Arcade,8.1
809,LawBreakers,08/08/2017,Action,Multiplayer,First-Person Shooter,8.1
810,Moving Out,28/04/2020,Action,Casual,Puzzle,8.1
811,theHunter: Call of the Wild,02/10/2017,Simulation,Open World,Coop,8.1
812,FINAL FANTASY XV POCKET EDITION HD,06/09/2018,RPG,JRPG,Open World,8.1
813,Blasters of the Universe,27/02/2018,Action,Shoot 'em up,Single-player,8.1
814,Starwhal,24/02/2015,Action,Coop,Local-coop,8.1
815,Tropico 6,27/09/2019,Simulation,Strategy,City Building,8.1
816,Pix the Cat,07/10/2014,Arcade,Party,Puzzle,8.1
817,Bladed Fury,25/03/2021,Action,Adventure,RPG,8.1
818,Nobunaga's Ambition: Sphere of Influence - Ascension,22/11/2016,Strategy,Single-player,,8.1
819,Farpoint,16/05/2017,Action,Adventure,Single-player,8.1
820,Costume Quest 2,28/10/2014,Action,RPG,Single-player,8.1
821,Amplitude,05/01/2016,Rhythm,Multiplayer,Single-player,8.1
822,Just Dance 2014,15/11/2013,Rhythm,Coop,Local Multiplayer,8.1
823,Dauntless,21/05/2019,Action,RPG,Coop,8.1
824,Just Cause 3,01/12/2015,Action,Adventure,Open World,8.1
825,Need for Speed Hot Pursuit Remastered,06/11/2020,Action,Adventure,Racing,8.1
826,PlanetSide 2,23/06/2015,MMO,Open World,Multiplayer,8.1
827,Atelier Lydie & Suelle: Alchemists of the Mysterious Painting,27/03/2018,RPG,JRPG,Single-player,8.1
828,Rock of Ages II: Bigger and Boulder,28/08/2017,Strategy,Racing,Tower Defense,8.1
829,NOBUNAGA'S AMBITION: Awakening,20/07/2023,Simulation,Strategy,Single-player,8.1
830,Immortal Redneck,27/02/2018,Action,Single-player,First-Person Shooter,8.1
831,OlliOlli 2: Welcome to OlliWood,03/03/2015,Action,Sports,Multiplayer,8.1
832,Star Wars: Battlefront,17/11/2015,Coop,Local-coop,Multiplayer,8.1
833,Process of Elimination,11/04/2023,Adventure,Visual novel,Single-player,8.1
834,Crossing Souls,13/02/2018,Action,Adventure,Single-player,8.1
835,SUPERHOT: MIND CONTROL DELETE,16/07/2020,Action,Adventure,Puzzle,8.1
836,Elite: Dangerous,27/06/2017,Adventure,MMO,RPG,8.1
837,FIFA 19,28/09/2018,Simulation,Sports,Coop,8.1
838,Phantom Breaker: Battle Grounds Overdrive,21/07/2015,Fighting,Coop,Local-coop,8.1
839,Transformers: Devastation,06/10/2015,Action,Hack and Slash,Single-player,8.1
840,Audica,05/11/2019,Action,Rhythm,Single-player,8.1
841,My Friend Peppa Pig,22/10/2021,Action,Adventure,Platformer,8.1
842,Senran Kagura: Peach Beach Splash,26/09/2017,Multiplayer,Single-player,Third-Person Shooter,8.1
843,Captain Tsubasa: Rise of New Champions,28/08/2020,Action,Arcade,Casual,8.1
844,The First Tree,30/11/2018,Adventure,Single-player,,8.1
845,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,23/06/2020,Action,Adventure,Platformer,8.1
846,8-bit Adventure Anthology: Volume I,31/10/2017,Adventure,Single-player,,8.1
847,Tom Clancy's Ghost Recon: Wildlands,07/03/2017,Action,Open World,Coop,8.1
848,Goodbye Volcano High,29/08/2023,Adventure,Rhythm,Visual novel,8.1
849,CastleStorm VR Edition,01/08/2017,Action,Strategy,Tower Defense,8.1
850,Wizard of Legend,15/05/2018,Action,Adventure,Coop,8.1
851,Death Squared,14/03/2017,Puzzle,Coop,Local-coop,8.1
852,Just Dance 2018,24/10/2017,Rhythm,Coop,Local-coop,8.1
853,Monster Energy Supercross - The Official Videogame 5,17/03/2022,Simulation,Sports,Racing,8.1
854,Darksiders II: Deathinitive Edition,27/10/2015,Action,Adventure,RPG,8.1
855,Broken Age,28/04/2015,Adventure,Point & Click,Single-player,8.1
856,The Adventure Pals,27/03/2018,Adventure,Platformer,Coop,8.1
857,Sonic Frontiers,08/11/2022,Action,Adventure,Open World,8.1
858,Redout: Lightspeed Edition,29/08/2017,Racing,Multiplayer,Single-player,8.1
859,Firewall Zero Hour,28/08/2018,Action,Coop,Multiplayer,8.1
860,The Evil Within,14/10/2014,Action,Adventure,Horror,8.1
861,RIGS Mechanized Combat League,13/10/2016,Multiplayer,Single-player,First-Person Shooter,8.1
862,MLB The Show 21,20/04/2021,Sports,Local-coop,Single-player,8.1
863,Kingdoms of Amalur: Re-Reckoning,08/09/2020,Action,Adventure,RPG,8.1
864,MediEvil,25/10/2019,Action,Adventure,Hack and Slash,8.1
865,Just Dance 2017,25/10/2016,Rhythm,Coop,Local-coop,8.1
866,Bridge Constructor Portal,01/03/2018,Puzzle,Simulation,Strategy,8.1
867,Chariot,30/09/2014,Puzzle,Platformer,Coop,8.1
868,A Way Out,23/03/2018,Action,Adventure,Coop,8.1
869,Call of Duty: Black Ops 4,12/10/2018,Action,Battle Royale,Military Shooter,8.1
870,Sonic Colors: Ultimate,07/09/2021,Action,Adventure,Platformer,8.1
871,Little Witch Nobeta,07/03/2023,Action,RPG,JRPG,8.1
872,Anomaly 2,16/09/2014,Strategy,Single-player,,8.1
873,World of Tanks,04/12/2015,Action,MMO,Esports,8.1
874,SpongeBob SquarePants: The Cosmic Shake,31/01/2023,Action,Adventure,Platformer,8.1
875,The Elder Scrolls Online: Tamriel Unlimited,09/06/2015,MMO,MMORPG,RPG,8.1
876,Comet Crash™ 2,08/08/2017,Strategy,Multiplayer,Single-player,8.1
877,Skylanders: SuperChargers,20/09/2015,Adventure,RPG,Platformer,8.1
878,Chaos;Child,17/10/2017,Adventure,Visual novel,Single-player,8.1
879,Her Majesty's SPIFFING,14/12/2016,Adventure,Single-player,,8.1
880,Team Sonic Racing,21/05/2019,Racing,Coop,Local Multiplayer,8.1
881,Ghosts 'n Goblins Resurrection,01/06/2021,Action,Adventure,Platformer,8.1
882,Koihime Enbu RyoRaiRai,12/07/2018,Fighting,Multiplayer,Single-player,8.1
883,Operation: Tango,01/06/2021,Action,Adventure,Coop,8.1
884,Destroy All Humans!,28/07/2020,Action,Adventure,RPG,8.1
885,Sky Force Reloaded,28/11/2017,Action,Shoot 'em up,Coop,8.1
886,War Thunder,03/06/2014,Action,MMO,Simulation,8.1
887,Nidhogg 2,15/08/2017,Fighting,Coop,Local Multiplayer,8.1
888,Deliver Us the Moon,24/04/2020,Action,Adventure,Puzzle,8.1
889,Trackmania Turbo,22/03/2016,Racing,Coop,Local-coop,8.1
890,Star Ocean: The Last Hope - 4K & Full HD Remaster,28/11/2017,Action,RPG,Single-player,8.1
891,Nobunaga's Ambition: Sphere of Influence,01/09/2015,Strategy,Single-player,,8.1
892,Dead Island 2,21/04/2023,Action,RPG,Horror,8.1
893,Expand,03/10/2017,Puzzle,Single-player,,8.1
894,RAD,20/08/2019,Action,Roguelike,Single-player,8.1
895,Ashes Cricket,16/11/2017,Sports,Multiplayer,Single-player,8.1
896,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,15/10/2021,Action,Fighting,Anime,8.1
897,LEGO Batman 3: Beyond Gotham,11/11/2014,Action,Adventure,Coop,8.1
898,CastleStorm: Definitive Edition,23/09/2014,Action,Strategy,Tower Defense,8.1
899,Re:ZERO - Starting Life in Another World: The Prophecy of the Throne,30/01/2021,Adventure,Turn-based strategy,Anime,8.1
900,Aragami,04/10/2016,Action,Adventure,Stealth,8.1
901,F1 Manager 2023,31/07/2023,Simulation,Sports,Racing,8.1
902,Sniper Ghost Warrior Contracts 2,04/06/2021,Action,Military,Military Shooter,8.1
903,Hitman,31/01/2017,Action,Stealth,Coop,8.1
904,Pure Pool,29/07/2014,Simulation,Sports,Multiplayer,8.1
905,MLB The Show 20,17/03/2020,Sports,Multiplayer,Online Multiplayer,8.1
906,The Surge 2,24/09/2019,Action,RPG,Multiplayer,8.1
907,Children of Zodiarcs,18/07/2017,Adventure,RPG,Strategy,8.1
908,Just Dance 2015,21/10/2014,Rhythm,Coop,Local-coop,8.1
909,The Survivalists,09/10/2020,Adventure,Open World,Survival,8.1
910,Payday 2: Crimewave Edition,16/06/2015,Action,Stealth,Multiplayer,8.1
911,Blade Strangers,28/08/2018,Action,Fighting,Multiplayer,8.1
912,Strange Brigade,28/08/2018,Action,Arcade,Coop,8.1
913,Aliens: Dark Descent,20/06/2023,Action,Adventure,Strategy,8.1
914,Persona 3: Dancing In Moonlight,04/12/2018,Rhythm,Single-player,,8.1
915,Jurassic World: Evolution,12/06/2018,Simulation,Strategy,Open World,8.1
916,Pinball FX3,26/09/2017,Simulation,Pinball,Multiplayer,8.1
918,Super Daryl Deluxe,10/04/2018,Action,RPG,Single-player,8.1
919,My Time At Portia,16/04/2019,Action,RPG,Simulation,8.1
920,JYDGE,03/10/2017,Action,Simulation,Strategy,8.1
921,Age of Wonders: Planetfall,06/08/2019,Strategy,Turn-based strategy,Coop,8.1
922,Mad Max,01/09/2015,Action,Adventure,Open World,8.1
923,Just Dance 2016,20/10/2015,Rhythm,Local-coop,Multiplayer,8.1
924,God's Trigger,18/04/2019,Action,Hack and Slash,Shoot 'em up,8.1
925,MARSUPILAMI - HOOBADVENTURE,16/11/2021,Adventure,Platformer,Single-player,8.1
926,Matterfall,15/08/2017,Platformer,Shoot 'em up,Single-player,8.1
927,JoJo's Bizarre Adventure All-Star Battle R,02/09/2022,Action,Fighting,Anime,8.1
928,Furi,05/07/2016,Action,Shoot 'em up,Single-player,8.1
929,Trials Rising,26/02/2019,Sports,Racing,Coop,8.1
930,VIDEOBALL,12/07/2016,Sports,Multiplayer,Single-player,8.1
931,Observer,15/08/2017,Horror,Survival,Single-player,8.1
932,Hue,30/08/2016,Puzzle,Metroidvania,Single-player,8.1
933,LEGO Jurassic World,12/06/2015,Action,Adventure,Coop,8.1
934,Tales of Zestiria,20/10/2015,RPG,JRPG,Open World,8.1
935,Dead Rising,13/09/2016,Beat 'em up,Horror,Survival,8.1
936,Metal Gear Solid V: Ground Zeroes,18/03/2014,Action,Adventure,Open World,8.1
937,11-11: MEMORIES RETOLD,09/11/2018,Action,Adventure,Single-player,8.1
938,SUPERHOT VR,21/07/2017,Action,Puzzle,Horror,8.1
939,Pro Evolution Soccer 2015,11/11/2014,Sports,Multiplayer,Single-player,8.1
